移动直播源,#genre#
CETV4,http://111.12.102.41:6610/000000001000/SD-4000k-576P-jiaoyutv4/SD-4000k-576P-jiaoyutv4.m3u8?$河池移动
黑莓电影,http://111.12.102.47:6610/000000001000/jdianying/jdianying.m3u8?$河池移动
黑莓动画,http://111.12.102.43:6610/000000001000/donghuawg/donghuawg.m3u8?$河池移动
黑莓电竞,http://111.12.102.34:6610/000000001000/wmyx/wmyx.m3u8?$河池移动
纯享4K,http://111.12.102.43:6610/000000001000/HD-20M-2160P-chunxiang4k/HD-20M-2160P-chunxiang4k.m3u8?$河池移动
上海纪实,http://111.12.102.47:6610/000000001000/HD-8000k-1080P-shanghaijishi/HD-8000k-1080P-shanghaijishi.m3u8?$河池移动
北京纪实,http://111.12.102.34:6610/000000001000/HD-8000k-1080P-beijingjishi/HD-8000k-1080P-beijingjishi.m3u8?$河池移动
金鹰纪实,http://111.12.102.69:6610/000000001000/SD-4000k-576P-jinyingjs/SD-4000k-576P-jinyingjs.m3u8?$河池移动
古装剧场,http://111.12.102.73:6610/000000001000/guzhuangjc/guzhuangjc.m3u8?$河池移动
动作电影,http://111.12.102.37:6610/000000001000/dongzuody/dongzuody.m3u8?$河池移动
军旅剧场,http://111.12.102.50:6610/000000001000/junlvjc/junlvjc.m3u8?$河池移动
家庭剧场,http://111.12.102.34:6610/000000001000/jiatingjc/jiatingjc.m3u8?$河池移动
惊悚悬疑,http://111.12.102.71:6610/000000001000/jingsongxy/jingsongxy.m3u8?$河池移动
热播精选,http://111.12.102.77:6610/000000001000/xiqumd/xiqumd.m3u8?$河池移动
武博世界,http://111.12.102.52:6610/000000001000/SD-1500k-576P-bokesen/SD-1500k-576P-bokesen.m3u8?$河池移动
明星大牌,http://111.12.102.36:6610/000000001000/mingxingdp/mingxingdp.m3u8?$河池移动
爱情喜剧,http://111.12.102.38:6610/000000001000/aiqingxj/aiqingxj.m3u8?$河池移动
精品大剧,http://111.12.102.78:6610/000000001000/jdaju/jdaju.m3u8?$河池移动
中国功夫,http://111.12.102.42:6610/000000001000/SD-1500k-576P-gzkongfu/SD-1500k-576P-gzkongfu.m3u8?$河池移动
金牌综艺,http://111.12.102.69:6610/000000001000/saishijx/saishijx.m3u8?$河池移动
军事评论,http://111.12.102.42:6610/000000001000/junshipl/junshipl.m3u8?$河池移动
农业致富,http://111.12.102.39:6610/000000001000/nongyezf/nongyezf.m3u8?$河池移动
精品纪录,http://111.12.102.70:6610/000000001000/jingpinjl/jingpinjl.m3u8?$河池移动
怡伴健康,http://111.12.102.53:6610/000000001000/ljiankangyouyue/ljiankangyouyue.m3u8?$河池移动
精品体育,http://111.12.102.41:6610/000000001000/jtiyu/jtiyu.m3u8?$河池移动
潮妈辣婆,http://111.12.102.51:6610/000000001000/HD-1500k-720P-cmlapo/HD-1500k-720P-cmlapo.m3u8?$河池移动
炫舞未来,http://111.12.102.45:6610/000000001000/HD-4000k-1080P-xwwl/HD-4000k-1080P-xwwl.m3u8?$河池移动

南宁移动
CCTV1,http://39.135.33.12/TVOD/77777777/224/3221226674/index.m3u8$南宁移动
CCTV2,http://39.135.33.12/TVOD/77777777/224/3221226642/index.m3u8$南宁移动
CCTV3,http://39.135.33.12/TVOD/77777777/224/3221226717/index.m3u8$南宁移动
CCTV4,http://39.135.33.12/TVOD/77777777/224/3221226817/index.m3u8$南宁移动
CCTV5,http://39.135.33.12/TVOD/77777777/224/3221226719/index.m3u8$南宁移动
CCTV5+,http://39.135.33.12/TVOD/77777777/224/3221226672/index.m3u8$南宁移动
CCTV6,http://39.135.33.12/TVOD/77777777/224/3221226644/index.m3u8$南宁移动
CCTV7,http://39.135.33.12/TVOD/77777777/224/3221226646/index.m3u8$南宁移动
CCTV8,http://39.135.33.12/TVOD/77777777/224/3221226721/index.m3u8$南宁移动
CCTV9,http://39.135.33.12/TVOD/77777777/224/3221226648/index.m3u8$南宁移动
CCTV10,http://39.135.33.12/TVOD/77777777/224/3221226640/index.m3u8$南宁移动
CCTV11,http://39.135.33.12/TVOD/77777777/224/3221226816/index.m3u8$南宁移动
CCTV12,http://39.135.33.12/TVOD/77777777/224/3221226713/index.m3u8$南宁移动
CCTV13,http://39.135.33.12/TVOD/77777777/224/3221226819/index.m3u8$南宁移动
CCTV14,http://39.135.33.12/TVOD/77777777/224/3221226715/index.m3u8$南宁移动
CCTV15,http://39.135.33.12/TVOD/77777777/224/3221226818/index.m3u8$南宁移动
CCTV16,http://39.135.32.28:6610/PLTV/77777777/224/3221225897/index.m3u8?$南宁移动
CCTV17,http://39.135.33.12/TVOD/77777777/224/3221226815/index.m3u8$南宁移动
广西卫视,http://39.135.33.12/TVOD/77777777/224/3221226641/index.m3u8$南宁移动
湖南卫视,http://39.135.33.12/TVOD/77777777/224/3221226725/index.m3u8$南宁移动
浙江卫视,http://39.135.33.12/TVOD/77777777/224/3221226729/index.m3u8$南宁移动
天津卫视,http://39.135.33.12/TVOD/77777777/224/3221226666/index.m3u8$南宁移动
东方卫视,http://39.135.33.12/TVOD/77777777/224/3221226652/index.m3u8$南宁移动
江苏卫视,http://39.135.33.12/TVOD/77777777/224/3221226658/index.m3u8$南宁移动
北京卫视,http://39.135.33.12/TVOD/77777777/224/3221226670/index.m3u8$南宁移动
广东卫视,http://39.135.33.12/TVOD/77777777/224/3221226654/index.m3u8$南宁移动
山东卫视,http://39.135.33.12/TVOD/77777777/224/3221226662/index.m3u8$南宁移动
湖北卫视,http://39.135.33.12/TVOD/77777777/224/3221226723/index.m3u8$南宁移动
安徽卫视,http://39.135.33.12/TVOD/77777777/224/3221226673/index.m3u8$南宁移动
东南卫视,http://39.135.33.12/TVOD/77777777/224/3221226588/index.m3u8$南宁移动
江西卫视,http://39.135.33.12/TVOD/77777777/224/3221226607/index.m3u8$南宁移动
四川卫视,http://39.135.33.12/TVOD/77777777/224/3221226604/index.m3u8$南宁移动
贵州卫视,http://39.135.33.12/TVOD/77777777/224/3221226731/index.m3u8$南宁移动
重庆卫视,http://39.135.33.12/TVOD/77777777/224/3221226650/index.m3u8$南宁移动
旅游卫视,http://39.135.33.12/TVOD/77777777/224/3221226633/index.m3u8$南宁移动
河北卫视,http://39.135.33.12/TVOD/77777777/224/3221226645/index.m3u8$南宁移动
河南卫视,http://39.135.33.12/TVOD/77777777/224/3221226800/index.m3u8$南宁移动
辽宁卫视,http://39.135.33.12/TVOD/77777777/224/3221226660/index.m3u8$南宁移动
黑龙江卫视,http://39.135.33.12/TVOD/77777777/224/3221226656/index.m3u8$南宁移动
甘肃卫视,http://39.135.33.12/TVOD/77777777/224/3221226590/index.m3u8$南宁移动
青海卫视,http://39.135.33.12/TVOD/77777777/224/3221226653/index.m3u8$南宁移动
山西卫视,http://39.135.33.12/TVOD/77777777/224/3221226655/index.m3u8$南宁移动
云南卫视,http://39.135.33.12/TVOD/77777777/224/3221226606/index.m3u8$南宁移动
陕西卫视,http://39.135.33.12/TVOD/77777777/224/3221226602/index.m3u8$南宁移动
吉林卫视,http://39.135.33.12/TVOD/77777777/224/3221226566/index.m3u8$南宁移动
宁夏卫视,http://39.135.33.12/TVOD/77777777/224/3221226651/index.m3u8$南宁移动
内蒙古卫视,http://39.135.33.12/TVOD/77777777/224/3221226598/index.m3u8$南宁移动
新疆卫视,http://39.135.33.12/TVOD/77777777/224/3221226657/index.m3u8$南宁移动
西藏卫视,http://39.135.33.12/TVOD/77777777/224/3221226720/index.m3u8$南宁移动
金鹰卡通,http://39.135.33.12/TVOD/77777777/224/3221226649/index.m3u8$南宁移动
嘉佳卡通,http://39.135.33.12/TVOD/77777777/224/3221226669/index.m3u8$南宁移动
哈哈炫动,http://39.135.33.12/TVOD/77777777/224/3221226659/index.m3u8$南宁移动
北京卡酷,http://39.135.33.12/TVOD/77777777/224/3221226629/index.m3u8$南宁移动
优漫卡通,http://39.135.33.12/TVOD/77777777/224/3221226661/index.m3u8$南宁移动
黑莓动画,http://39.134.66.66/PLTV/88888888/224/3221225529/index.m3u8$南宁移动
黑莓动画,http://39.135.33.12/TVOD/77777777/224/3221226538/index.m3u8$南宁移动
黑莓电影,http://39.134.66.66/PLTV/88888888/224/3221225681/index.m3u8$南宁移动
黑莓电影,http://39.135.33.12/TVOD/77777777/224/3221226619/index.m3u8$南宁移动
黑莓电竞,http://39.135.33.12/TVOD/77777777/224/3221226663/index.m3u8$南宁移动
上海纪实,http://39.135.33.12/TVOD/77777777/224/3221226727/index.m3u8$南宁移动
北京纪实,http://39.135.33.12/TVOD/77777777/224/3221226668/index.m3u8$南宁移动
金鹰纪实,http://39.135.33.12/TVOD/77777777/224/3221226647/index.m3u8$南宁移动
CETV1,http://39.135.33.12/TVOD/77777777/224/3221226592/index.m3u8$南宁移动
CETV4,http://39.135.33.12/TVOD/77777777/224/3221226756/index.m3u8$南宁移动
山东教育卫视,http://39.135.33.12/TVOD/77777777/224/3221226600/index.m3u8$南宁移动
深圳卫视,http://39.135.33.72:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225691/index.m3u8?$南宁移动
珠江卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225717/index.m3u8?$南宁移动
厦门卫视,http://39.135.33.12/TVOD/77777777/224/3221226856/index.m3u8$南宁移动
珠江卫视,http://39.135.33.12/TVOD/77777777/224/3221226608/index.m3u8$南宁移动
兵团卫视,http://39.135.33.12/TVOD/77777777/224/3221226854/index.m3u8$南宁移动
怡伴健康,http://39.135.33.12/TVOD/77777777/224/3221226631/index.m3u8$南宁移动
武搏世界,http://39.135.33.12/TVOD/77777777/224/3221226637/index.m3u8$南宁移动
